,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
53,515,KERNEL_DISPATCH,7,2,206982,46,273,kernel_unified_attention_2d,46,270884618245044,270884618983574,0,20480,256,1,1,49152,8,1,decode,1,2048,128,256,32,standalone_attn_decode_1.0_2048.0_128.0_256.0_32.0_kernel_trace.csv,738.53
54,516,KERNEL_DISPATCH,7,2,206982,47,273,kernel_unified_attention_2d,47,270884619087371,270884619859298,0,20480,256,1,1,49152,8,1,decode,1,2048,128,256,32,standalone_attn_decode_1.0_2048.0_128.0_256.0_32.0_kernel_trace.csv,771.927
55,559,KERNEL_DISPATCH,7,2,273746,43,273,kernel_unified_attention_2d,43,278395694965477,278395696279644,0,20480,256,1,1,49152,8,1,decode,1,2048,128,512,32,standalone_attn_decode_1.0_2048.0_128.0_512.0_32.0_kernel_trace.csv,1314.167
56,560,KERNEL_DISPATCH,7,2,273746,44,273,kernel_unified_attention_2d,44,278395696558922,278395697899068,0,20480,256,1,1,49152,8,1,decode,1,2048,128,512,32,standalone_attn_decode_1.0_2048.0_128.0_512.0_32.0_kernel_trace.csv,1340.146
57,561,KERNEL_DISPATCH,7,2,273746,45,273,kernel_unified_attention_2d,45,278395698033496,278395699343333,0,20480,256,1,1,49152,8,1,decode,1,2048,128,512,32,standalone_attn_decode_1.0_2048.0_128.0_512.0_32.0_kernel_trace.csv,1309.837
58,562,KERNEL_DISPATCH,7,2,273746,46,273,kernel_unified_attention_2d,46,278395699459879,278395700799064,0,20480,256,1,1,49152,8,1,decode,1,2048,128,512,32,standalone_attn_decode_1.0_2048.0_128.0_512.0_32.0_kernel_trace.csv,1339.185
59,563,KERNEL_DISPATCH,7,2,273746,47,273,kernel_unified_attention_2d,47,278395700916091,278395702224285,0,20480,256,1,1,49152,8,1,decode,1,2048,128,512,32,standalone_attn_decode_1.0_2048.0_128.0_512.0_32.0_kernel_trace.csv,1308.194
60,606,KERNEL_DISPATCH,7,2,216068,43,273,kernel_unified_attention_2d,43,272415262570868,272415264056628,0,20480,256,1,1,98304,8,1,decode,1,2048,256,256,32,standalone_attn_decode_1.0_2048.0_256.0_256.0_32.0_kernel_trace.csv,1485.76
61,607,KERNEL_DISPATCH,7,2,216068,44,273,kernel_unified_attention_2d,44,272415264335505,272415265815571,0,20480,256,1,1,98304,8,1,decode,1,2048,256,256,32,standalone_attn_decode_1.0_2048.0_256.0_256.0_32.0_kernel_trace.csv,1480.066
62,608,KERNEL_DISPATCH,7,2,216068,45,273,kernel_unified_attention_2d,45,272415265947072,272415267461337,0,20480,256,1,1,98304,8,1,decode,1,2048,256,256,32,standalone_attn_decode_1.0_2048.0_256.0_256.0_32.0_kernel_trace.csv,1514.265
63,609,KERNEL_DISPATCH,7,2,216068,46,273,kernel_unified_attention_2d,46,272415267570467,272415269045442,0,20480,256,1,1,98304,8,1,decode,1,2048,256,256,32,standalone_attn_decode_1.0_2048.0_256.0_256.0_32.0_kernel_trace.csv,1474.975
64,610,KERNEL_DISPATCH,7,2,216068,47,273,kernel_unified_attention_2d,47,272415269152727,272415270627421,0,20480,256,1,1,98304,8,1,decode,1,2048,256,256,32,standalone_attn_decode_1.0_2048.0_256.0_256.0_32.0_kernel_trace.csv,1474.694
65,653,KERNEL_DISPATCH,7,2,295564,43,273,kernel_unified_attention_2d,43,279852629387453,279852632021480,0,20480,256,1,1,98304,8,1,decode,1,2048,256,512,32,standalone_attn_decode_1.0_2048.0_256.0_512.0_32.0_kernel_trace.csv,2634.027
