,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
603,64.0,128,256,512,16,4352.638666666667,390.4666666666667
604,64.0,128,256,1024,1,1075.2866666666666,380.3503333333333
605,64.0,128,256,1024,4,4133.229666666666,397.8573333333333
606,64.0,128,256,1024,8,8246.147333333332,381.20533333333333
607,64.0,128,256,2048,1,4068.9896666666664,390.8006666666667
608,64.0,128,256,2048,4,15993.994666666666,381.2456666666667
609,64.0,128,256,2048,8,31825.711,381.5126666666667
610,64.0,128,256,4096,1,16074.993333333334,380.0296666666667
611,64.0,128,256,4096,4,62420.873,381.7266666666667
612,64.0,128,512,256,1,96.34066666666668,660.204
613,64.0,128,512,256,4,306.2203333333333,665.0153333333334
614,64.0,128,512,256,8,605.0376666666666,676.401
615,64.0,128,512,256,16,1219.3633333333332,685.088
616,64.0,128,512,256,32,2430.3743333333337,692.3176666666666
617,64.0,128,512,512,1,280.241,666.0843333333333
618,64.0,128,512,512,4,1078.8416666666667,674.9706666666666
619,64.0,128,512,512,8,2162.4946666666665,703.2093333333333
620,64.0,128,512,512,16,4354.938333333333,687.4396666666667
621,64.0,128,512,1024,1,1082.9046666666668,685.1676666666666
622,64.0,128,512,1024,4,4128.325666666667,691.529
623,64.0,128,512,1024,8,8216.346333333333,676.3076666666666
624,64.0,128,512,2048,1,4091.8293333333336,696.3663333333334
625,64.0,128,512,2048,4,15996.161333333333,674.7706666666667
626,64.0,128,512,2048,8,32031.65233333333,675.826
627,64.0,128,512,4096,1,16179.554,675.145
628,64.0,128,512,4096,4,62683.58733333334,676.441
629,64.0,128,1024,256,1,203.198,1257.183
630,64.0,128,1024,256,4,366.7993333333333,1261.5663333333332
631,64.0,128,1024,256,8,618.8293333333334,1269.7453333333333
632,64.0,128,1024,256,16,1228.277,1297.93
633,64.0,128,1024,256,32,2428.9043333333334,1285.8886666666667
634,64.0,128,1024,512,1,361.03933333333333,1262.823
635,64.0,128,1024,512,4,1106.4653333333333,1304.9723333333332
636,64.0,128,1024,512,8,2168.9766666666665,1301.498
637,64.0,128,1024,512,16,4353.735666666667,1288.0673333333332
638,64.0,128,1024,1024,1,1074.1246666666668,1295.3506666666667
639,64.0,128,1024,1024,4,4127.738,1284.2983333333332
640,64.0,128,1024,1024,8,8248.313333333334,1266.7383333333332
641,64.0,128,1024,2048,1,4096.426333333334,1290.032
642,64.0,128,1024,2048,4,15989.907333333334,1264.3333333333333
643,64.0,128,1024,2048,8,31918.314,1266.1773333333333
644,64.0,128,1024,4096,1,16233.117,1266.5246666666667
645,64.0,128,1024,4096,4,63041.835333333336,1268.6493333333333
646,64.0,128,2048,256,1,337.5726666666667,2406.119
647,64.0,128,2048,256,4,559.6403333333334,2409.046
648,64.0,128,2048,256,8,796.155,2414.2173333333335
649,64.0,128,2048,256,16,1274.6903333333332,2440.304
650,64.0,128,2048,256,32,2454.9773333333333,2493.6393333333335
651,64.0,128,2048,512,1,546.8513333333334,2410.0613333333336
652,64.0,128,2048,512,4,1168.2733333333333,2439.2883333333334
653,64.0,128,2048,512,8,2189.45,2493.92
654,64.0,128,2048,512,16,4376.173333333333,2493.7063333333335
655,64.0,128,2048,1024,1,1178.6966666666667,2453.9346666666665
656,64.0,128,2048,1024,4,4145.819333333334,2492.7706666666663
657,64.0,128,2048,1024,8,8216.962333333333,2465.3213333333333
658,64.0,128,2048,2048,1,4080.5236666666665,2489.4026666666664
659,64.0,128,2048,2048,4,15954.319333333335,2471.3346666666666
660,64.0,128,2048,2048,8,31786.961,2461.058
661,64.0,128,2048,4096,1,16143.365666666667,2479.2593333333334
662,64.0,128,2048,4096,4,62699.28166666666,2519.2716666666665
663,64.0,128,4096,256,1,661.7673333333333,4692.376333333333
664,64.0,128,4096,256,4,954.063,4766.038
665,64.0,128,4096,256,8,1185.3383333333334,4739.564
666,64.0,128,4096,256,16,1657.419,4761.922
667,64.0,128,4096,256,32,2646.268,4869.327333333333
668,64.0,128,4096,512,1,941.6206666666666,4753.422666666667
669,64.0,128,4096,512,4,1558.1116666666667,4764.274
670,64.0,128,4096,512,8,2413.602,4914.471
671,64.0,128,4096,512,16,4409.996666666667,4965.467666666667
672,64.0,128,4096,1024,1,1548.4093333333333,4847.304
673,64.0,128,4096,1024,4,4161.682,4968.635333333333
674,64.0,128,4096,1024,8,8237.741333333333,5045.651
675,64.0,128,4096,2048,1,4074.0413333333336,4953.587666666667
676,64.0,128,4096,2048,4,16000.433666666666,5114.639
677,64.0,128,4096,2048,8,31891.715333333334,5090.728
678,64.0,128,4096,4096,1,16134.476,5116.640333333333
679,64.0,128,4096,4096,4,62450.76933333334,5169.414333333333
680,64.0,256,256,256,1,106.37666666666667,744.771
681,64.0,256,256,256,4,316.2436666666667,762.17
682,64.0,256,256,256,8,594.8943333333334,762.3173333333334
683,64.0,256,256,256,16,1240.4786666666666,803.037
684,64.0,256,256,256,32,2440.838,790.1546666666666
685,64.0,256,256,512,1,280.9626666666667,757.1053333333334
686,64.0,256,256,512,4,1078.935,767.8366666666666
687,64.0,256,256,512,8,2167.5196666666666,788.3636666666666
