,prefill_batch,prefill_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_prefill_duration_us_baseline
103,4,8192,160.0,52037.736000000004,,,52037.736000000004,24487.51066666667,,,24487.51066666667
104,4,8192,32.0,26881.815333333336,,,26881.815333333336,24487.51066666667,,,24487.51066666667
105,4,8192,64.0,30462.395,,,30462.395,24487.51066666667,,,24487.51066666667
106,4,8192,96.0,34992.81533333333,,,34992.81533333333,24487.51066666667,,,24487.51066666667
107,4,8192,304.0,24487.51066666667,,,24487.51066666667,24487.51066666667,,,24487.51066666667
108,8,1024,128.0,1426.6376666666667,,,1426.6376666666667,830.861,,,830.861
109,8,1024,160.0,1756.0446666666667,,,1756.0446666666667,830.861,,,830.861
110,8,1024,32.0,946.8866666666667,,,946.8866666666667,830.861,,,830.861
111,8,1024,64.0,1029.0613333333333,,,1029.0613333333333,830.861,,,830.861
112,8,1024,96.0,1197.981,,,1197.981,830.861,,,830.861
113,8,1024,304.0,830.861,,,830.861,830.861,,,830.861
114,8,2048,128.0,5368.083,,,5368.083,3233.5856666666664,,,3233.5856666666664
115,8,2048,160.0,6657.834333333333,,,6657.834333333333,3233.5856666666664,,,3233.5856666666664
116,8,2048,32.0,3507.3590000000004,,,3507.3590000000004,3233.5856666666664,,,3233.5856666666664
117,8,2048,64.0,3886.8000000000006,,,3886.8000000000006,3233.5856666666664,,,3233.5856666666664
118,8,2048,96.0,4516.721333333333,,,4516.721333333333,3233.5856666666664,,,3233.5856666666664
119,8,2048,304.0,3233.5856666666664,,,3233.5856666666664,3233.5856666666664,,,3233.5856666666664
120,8,256,128.0,120.12833333333333,,,120.12833333333333,73.622,,,73.622
121,8,256,160.0,139.54600000000002,,,139.54600000000002,73.622,,,73.622
122,8,256,32.0,73.16733333333333,,,73.16733333333333,73.622,,,73.622
123,8,256,64.0,87.26666666666667,,,87.26666666666667,73.622,,,73.622
124,8,256,96.0,105.77533333333334,,,105.77533333333334,73.622,,,73.622
125,8,256,304.0,73.622,,,73.622,73.622,,,73.622
126,8,4096,128.0,21140.452333333335,,,21140.452333333335,12358.61166666667,,,12358.61166666667
127,8,4096,160.0,26208.355333333337,,,26208.355333333337,12358.61166666667,,,12358.61166666667
128,8,4096,32.0,13479.482666666669,,,13479.482666666669,12358.61166666667,,,12358.61166666667
129,8,4096,64.0,15333.591999999999,,,15333.591999999999,12358.61166666667,,,12358.61166666667
130,8,4096,96.0,17572.58166666667,,,17572.58166666667,12358.61166666667,,,12358.61166666667
131,8,4096,304.0,12358.61166666667,,,12358.61166666667,12358.61166666667,,,12358.61166666667
132,8,512,128.0,394.62266666666665,,,394.62266666666665,219.55566666666664,,,219.55566666666664
133,8,512,160.0,482.0226666666667,,,482.0226666666667,219.55566666666664,,,219.55566666666664
134,8,512,32.0,247.0186666666667,,,247.0186666666667,219.55566666666664,,,219.55566666666664
135,8,512,64.0,279.26533333333333,,,279.26533333333333,219.55566666666664,,,219.55566666666664
136,8,512,96.0,335.488,,,335.488,219.55566666666664,,,219.55566666666664
137,8,512,304.0,219.55566666666664,,,219.55566666666664,219.55566666666664,,,219.55566666666664
138,8,8192,128.0,83871.831,,,83871.831,49170.336,,,49170.336
139,8,8192,160.0,103943.224,,,103943.224,49170.336,,,49170.336
140,8,8192,32.0,53674.348666666665,,,53674.348666666665,49170.336,,,49170.336
141,8,8192,64.0,60294.602666666666,,,60294.602666666666,49170.336,,,49170.336
142,8,8192,96.0,69774.36066666666,,,69774.36066666666,49170.336,,,49170.336
143,8,8192,304.0,49170.336,,,49170.336,49170.336,,,49170.336
