,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us
231,decode,,,64.0,256.0,64.0,,54.81866666666667,8.084999999999999,62.90366666666667,
232,decode,,,64.0,256.0,96.0,,33.784,7.577333333333333,41.361333333333334,
233,decode,,,64.0,256.0,304.0,,13.363999999999999,5.6129999999999995,18.976999999999997,
234,decode,,,64.0,4096.0,128.0,,165.5653333333333,5.746666666666666,171.31199999999998,
235,decode,,,64.0,4096.0,160.0,,133.679,5.506,139.185,
236,decode,,,64.0,4096.0,32.0,,724.1370000000001,11.372666666666667,735.5096666666667,
237,decode,,,64.0,4096.0,64.0,,352.59366666666665,7.537333333333334,360.131,
238,decode,,,64.0,4096.0,96.0,,212.2456666666667,6.2139999999999995,218.4596666666667,
239,decode,,,64.0,4096.0,304.0,,69.38499999999999,4.517333333333333,73.90233333333333,
240,decode,,,64.0,512.0,128.0,,47.041333333333334,6.628333333333334,53.66966666666667,
241,decode,,,64.0,512.0,160.0,,38.007,6.067,44.074,
242,decode,,,64.0,512.0,32.0,,172.43433333333334,11.533000000000001,183.96733333333333,
243,decode,,,64.0,512.0,64.0,,89.89933333333333,7.523666666666666,97.423,
244,decode,,,64.0,512.0,96.0,,57.30433333333334,7.177,64.48133333333334,
245,decode,,,64.0,512.0,304.0,,21.208666666666666,4.864333333333334,26.073,
246,decode,,,64.0,8192.0,128.0,,300.5273333333333,6.120666666666668,306.64799999999997,
247,decode,,,64.0,8192.0,160.0,,241.192,5.5056666666666665,246.69766666666666,
248,decode,,,64.0,8192.0,32.0,,1331.8606666666667,11.733333333333334,1343.594,
249,decode,,,64.0,8192.0,64.0,,648.8180000000001,8.018,656.8360000000001,
250,decode,,,64.0,8192.0,96.0,,386.7246666666667,6.414666666666666,393.13933333333335,
251,decode,,,64.0,8192.0,304.0,,125.12599999999999,4.517,129.643,
252,decode,,,8.0,1024.0,128.0,,14.232333333333335,4.330333333333333,18.56266666666667,
253,decode,,,8.0,1024.0,160.0,,10.303333333333333,3.9423333333333335,14.245666666666667,
254,decode,,,8.0,1024.0,32.0,,36.925000000000004,4.37,41.295,
255,decode,,,8.0,1024.0,64.0,,19.979,4.022333333333333,24.00133333333333,
256,decode,,,8.0,1024.0,96.0,,15.903,3.9283333333333332,19.831333333333333,
257,decode,,,8.0,1024.0,304.0,,11.68,4.41,16.09,
258,decode,,,8.0,2048.0,128.0,,20.981333333333335,3.996,24.977333333333334,
259,decode,,,8.0,2048.0,160.0,,12.522666666666666,4.289666666666666,16.81233333333333,
260,decode,,,8.0,2048.0,32.0,,57.397999999999996,4.303,61.70099999999999,
261,decode,,,8.0,2048.0,64.0,,29.975666666666665,4.196,34.17166666666667,
262,decode,,,8.0,2048.0,96.0,,22.384666666666664,4.343,26.727666666666664,
263,decode,,,8.0,2048.0,304.0,,13.77833333333333,4.249666666666666,18.028,
264,decode,,,8.0,256.0,128.0,,6.361,4.37,10.731,
265,decode,,,8.0,256.0,160.0,,6.388333333333333,3.982666666666667,10.370999999999999,
266,decode,,,8.0,256.0,32.0,,16.237,4.477333333333333,20.714333333333332,
267,decode,,,8.0,256.0,64.0,,9.876,4.3566666666666665,14.232666666666667,
268,decode,,,8.0,256.0,96.0,,6.241333333333333,4.2763333333333335,10.517666666666667,
269,decode,,,8.0,256.0,304.0,,6.468,4.049,10.517,
270,decode,,,8.0,4096.0,128.0,,33.797,3.4346666666666663,37.23166666666666,
271,decode,,,8.0,4096.0,160.0,,19.203999999999997,4.062333333333333,23.26633333333333,
272,decode,,,8.0,4096.0,32.0,,97.61000000000001,4.517,102.12700000000001,
273,decode,,,8.0,4096.0,64.0,,52.09266666666667,4.022333333333333,56.11500000000001,
274,decode,,,8.0,4096.0,96.0,,34.639333333333326,3.8753333333333333,38.514666666666656,
275,decode,,,8.0,4096.0,304.0,,19.016666666666666,4.45,23.466666666666665,
276,decode,,,8.0,512.0,128.0,,10.156333333333334,3.7823333333333338,13.938666666666668,
277,decode,,,8.0,512.0,160.0,,8.219333333333333,4.142666666666666,12.361999999999998,
278,decode,,,8.0,512.0,32.0,,26.566999999999997,4.3566666666666665,30.923666666666662,
279,decode,,,8.0,512.0,64.0,,13.831999999999999,4.116333333333333,17.94833333333333,
280,decode,,,8.0,512.0,96.0,,10.17,3.875666666666667,14.045666666666667,
281,decode,,,8.0,512.0,304.0,,7.4576666666666656,4.543666666666666,12.001333333333331,
282,decode,,,8.0,8192.0,128.0,,62.836999999999996,4.530333333333334,67.36733333333333,
283,decode,,,8.0,8192.0,160.0,,32.80833333333334,4.7973333333333334,37.60566666666667,
284,decode,,,8.0,8192.0,32.0,,179.03666666666666,4.49,183.52666666666667,
285,decode,,,8.0,8192.0,64.0,,92.25066666666665,4.677666666666666,96.92833333333331,
286,decode,,,8.0,8192.0,96.0,,62.141999999999996,4.931333333333334,67.07333333333332,
287,decode,,,8.0,8192.0,304.0,,34.19833333333333,4.971333333333333,39.169666666666664,
288,prefill_and_decode,16.0,1024.0,128.0,1024.0,128.0,,,,114.315,2759.875
289,prefill_and_decode,16.0,1024.0,128.0,1024.0,160.0,,,,60.217666666666666,3424.596666666667
290,prefill_and_decode,16.0,1024.0,128.0,1024.0,32.0,,,,355.35966666666667,1805.184
291,prefill_and_decode,16.0,1024.0,128.0,1024.0,64.0,,,,173.98499999999999,2006.5243333333335
292,prefill_and_decode,16.0,1024.0,128.0,1024.0,96.0,,,,116.52033333333334,2323.476666666667
293,prefill_and_decode,16.0,1024.0,128.0,1024.0,304.0,,,,63.050999999999995,1650.6703333333335
294,prefill_and_decode,16.0,1024.0,128.0,2048.0,128.0,,,,221.3596666666667,2761.091
295,prefill_and_decode,16.0,1024.0,128.0,2048.0,160.0,,,,111.30833333333334,3421.9769999999994
