,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_us,avg_decode_duration_us,avg_prefill_duration_us
420,decode,1,512,128,512,304.0,126.28933333333333,,
421,decode,1,512,256,1024,128.0,1151.7416666666666,,
422,decode,1,512,256,1024,32.0,4922.944,,
423,decode,1,512,256,1024,64.0,2465.6683333333335,,
424,decode,1,512,256,1024,304.0,463.64733333333334,,
425,decode,1,512,256,2048,128.0,2187.217,,
426,decode,1,512,256,2048,32.0,9513.997666666668,,
427,decode,1,512,256,2048,64.0,4759.797666666666,,
428,decode,1,512,256,2048,304.0,903.0529999999999,,
429,decode,1,512,256,256,128.0,342.10266666666666,,
430,decode,1,512,256,256,32.0,1491.546333333333,,
431,decode,1,512,256,256,64.0,752.3883333333333,,
432,decode,1,512,256,256,304.0,141.84433333333334,,
433,decode,1,512,256,4096,128.0,4300.881666666667,,
434,decode,1,512,256,4096,32.0,18726.109999999997,,
435,decode,1,512,256,4096,64.0,9371.575666666666,,
436,decode,1,512,256,4096,304.0,1791.646,,
437,decode,1,512,256,512,128.0,604.2496666666666,,
438,decode,1,512,256,512,32.0,2620.983666666667,,
439,decode,1,512,256,512,64.0,1333.9453333333333,,
440,decode,1,512,256,512,304.0,248.2876666666667,,
441,decode,1,512,32,1024,128.0,170.14966666666666,,
442,decode,1,512,32,1024,32.0,634.0103333333333,,
443,decode,1,512,32,1024,64.0,336.85066666666665,,
444,decode,1,512,32,1024,304.0,61.12633333333334,,
445,decode,1,512,32,2048,128.0,327.8966666666667,,
446,decode,1,512,32,2048,32.0,1234.4246666666666,,
447,decode,1,512,32,2048,64.0,650.568,,
448,decode,1,512,32,2048,304.0,113.954,,
449,decode,1,512,32,256,128.0,51.585,,
450,decode,1,512,32,256,196.0,20.11266666666667,,
451,decode,1,512,32,256,32.0,190.1016666666667,,
452,decode,1,512,32,256,64.0,101.28500000000001,,
453,decode,1,512,32,256,304.0,20.633333333333336,,
454,decode,1,512,32,4096,128.0,653.0813333333334,,
455,decode,1,512,32,4096,32.0,2406.56,,
456,decode,1,512,32,4096,64.0,1297.3286666666665,,
457,decode,1,512,32,4096,304.0,221.814,,
458,decode,1,512,32,512,128.0,91.28899999999999,,
459,decode,1,512,32,512,32.0,337.73266666666666,,
460,decode,1,512,32,512,64.0,179.55766666666668,,
461,decode,1,512,32,512,304.0,33.797666666666665,,
462,decode,1,512,512,1024,128.0,2287.74,,
463,decode,1,512,512,1024,32.0,9845.207999999999,,
464,decode,1,512,512,1024,64.0,4931.296666666667,,
465,decode,1,512,512,1024,304.0,897.7076666666667,,
466,decode,1,512,512,2048,128.0,4415.196,,
467,decode,1,512,512,2048,32.0,19018.334,,
468,decode,1,512,512,2048,64.0,9562.066333333334,,
469,decode,1,512,512,2048,304.0,1738.216666666667,,
470,decode,1,512,512,256,128.0,698.4513333333333,,
471,decode,1,512,512,256,32.0,2958.9836666666665,,
472,decode,1,512,512,256,64.0,1504.656,,
473,decode,1,512,512,256,304.0,264.9393333333333,,
474,decode,1,512,512,4096,128.0,8703.971,,
475,decode,1,512,512,4096,32.0,37483.70733333333,,
476,decode,1,512,512,4096,64.0,18729.12,,
477,decode,1,512,512,4096,304.0,3335.378666666667,,
478,decode,1,512,512,512,128.0,1225.0036666666667,,
479,decode,1,512,512,512,32.0,5242.849666666667,,
480,decode,1,512,512,512,64.0,2621.798666666667,,
481,decode,1,512,512,512,304.0,467.109,,
482,decode,1,512,64,1024,128.0,283.462,,
483,decode,1,512,64,1024,32.0,1270.948,,
484,decode,1,512,64,1024,64.0,616.825,,
485,decode,1,512,64,1024,304.0,117.53533333333333,,
486,decode,1,512,64,2048,128.0,545.7013333333333,,
487,decode,1,512,64,2048,32.0,2413.469333333333,,
488,decode,1,512,64,2048,64.0,1202.004,,
489,decode,1,512,64,2048,304.0,225.32866666666666,,
490,decode,1,512,64,256,128.0,86.33066666666666,,
491,decode,1,512,64,256,32.0,373.70866666666666,,
492,decode,1,512,64,256,64.0,186.02533333333335,,
493,decode,1,512,64,256,304.0,37.40566666666667,,
494,decode,1,512,64,4096,128.0,1090.6686666666667,,
