,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
176,decode,16,256,16,256,32.0,19.471666666666664,,,19.471666666666664,,18.496333333333336,,,18.496333333333336,
177,decode,16,256,16,256,304.0,18.496333333333336,,,18.496333333333336,,18.496333333333336,,,18.496333333333336,
178,decode,16,256,16,4096,32.0,213.80866666666665,,,213.80866666666665,,214.58466666666666,,,214.58466666666666,
179,decode,16,256,16,4096,304.0,214.58466666666666,,,214.58466666666666,,214.58466666666666,,,214.58466666666666,
180,decode,16,256,16,512,32.0,31.619,,,31.619,,32.24733333333333,,,32.24733333333333,
181,decode,16,256,16,512,304.0,32.24733333333333,,,32.24733333333333,,32.24733333333333,,,32.24733333333333,
182,decode,16,256,8,1024,32.0,57.799333333333344,,,57.799333333333344,,58.547666666666665,,,58.547666666666665,
183,decode,16,256,8,1024,304.0,58.547666666666665,,,58.547666666666665,,58.547666666666665,,,58.547666666666665,
184,decode,16,256,8,2048,32.0,110.73333333333333,,,110.73333333333333,,109.71766666666667,,,109.71766666666667,
185,decode,16,256,8,2048,304.0,109.71766666666667,,,109.71766666666667,,109.71766666666667,,,109.71766666666667,
186,decode,16,256,8,256,32.0,18.736,,,18.736,,19.150333333333336,,,19.150333333333336,
187,decode,16,256,8,256,64.0,18.709333333333333,,,18.709333333333333,,19.150333333333336,,,19.150333333333336,
188,decode,16,256,8,256,304.0,19.150333333333336,,,19.150333333333336,,19.150333333333336,,,19.150333333333336,
189,decode,16,256,8,4096,32.0,213.8226666666667,,,213.8226666666667,,214.51700000000002,,,214.51700000000002,
190,decode,16,256,8,4096,304.0,214.51700000000002,,,214.51700000000002,,214.51700000000002,,,214.51700000000002,
191,decode,16,256,8,512,32.0,31.819333333333333,,,31.819333333333333,,32.67466666666667,,,32.67466666666667,
192,decode,16,256,8,512,304.0,32.67466666666667,,,32.67466666666667,,32.67466666666667,,,32.67466666666667,
193,decode,16,512,1,1024,32.0,60.672333333333334,,,60.672333333333334,,60.68566666666667,,,60.68566666666667,
194,decode,16,512,1,1024,304.0,60.68566666666667,,,60.68566666666667,,60.68566666666667,,,60.68566666666667,
195,decode,16,512,1,2048,32.0,112.644,,,112.644,,113.28533333333333,,,113.28533333333333,
196,decode,16,512,1,2048,304.0,113.28533333333333,,,113.28533333333333,,113.28533333333333,,,113.28533333333333,
197,decode,16,512,1,256,32.0,20.5,,,20.5,,19.75166666666667,,,19.75166666666667,
198,decode,16,512,1,256,64.0,19.618,,,19.618,,19.75166666666667,,,19.75166666666667,
199,decode,16,512,1,256,304.0,19.75166666666667,,,19.75166666666667,,19.75166666666667,,,19.75166666666667,
200,decode,16,512,1,4096,32.0,218.12533333333332,,,218.12533333333332,,219.38166666666666,,,219.38166666666666,
201,decode,16,512,1,4096,304.0,219.38166666666666,,,219.38166666666666,,219.38166666666666,,,219.38166666666666,
202,decode,16,512,1,512,32.0,33.931000000000004,,,33.931000000000004,,33.36933333333333,,,33.36933333333333,
203,decode,16,512,1,512,304.0,33.36933333333333,,,33.36933333333333,,33.36933333333333,,,33.36933333333333,
204,decode,16,512,16,1024,32.0,57.478,,,57.478,,58.22666666666667,,,58.22666666666667,
205,decode,16,512,16,1024,304.0,58.22666666666667,,,58.22666666666667,,58.22666666666667,,,58.22666666666667,
206,decode,16,512,16,2048,32.0,110.33266666666667,,,110.33266666666667,,110.70666666666666,,,110.70666666666666,
207,decode,16,512,16,2048,304.0,110.70666666666666,,,110.70666666666666,,110.70666666666666,,,110.70666666666666,
208,decode,16,512,16,256,32.0,18.509333333333334,,,18.509333333333334,,18.615666666666666,,,18.615666666666666,
209,decode,16,512,16,256,304.0,18.615666666666666,,,18.615666666666666,,18.615666666666666,,,18.615666666666666,
210,decode,16,512,16,4096,32.0,214.15666666666664,,,214.15666666666664,,214.82500000000002,,,214.82500000000002,
211,decode,16,512,16,4096,304.0,214.82500000000002,,,214.82500000000002,,214.82500000000002,,,214.82500000000002,
212,decode,16,512,16,512,32.0,32.233333333333334,,,32.233333333333334,,31.592333333333332,,,31.592333333333332,
213,decode,16,512,16,512,304.0,31.592333333333332,,,31.592333333333332,,31.592333333333332,,,31.592333333333332,
214,decode,16,512,8,1024,32.0,57.54466666666667,,,57.54466666666667,,57.625,,,57.625,
215,decode,16,512,8,1024,304.0,57.625,,,57.625,,57.625,,,57.625,
216,decode,16,512,8,2048,32.0,109.89166666666667,,,109.89166666666667,,111.041,,,111.041,
217,decode,16,512,8,2048,304.0,111.041,,,111.041,,111.041,,,111.041,
218,decode,16,512,8,256,32.0,20.326333333333334,,,20.326333333333334,,19.725333333333335,,,19.725333333333335,
219,decode,16,512,8,256,64.0,19.124,,,19.124,,19.725333333333335,,,19.725333333333335,
220,decode,16,512,8,256,304.0,19.725333333333335,,,19.725333333333335,,19.725333333333335,,,19.725333333333335,
221,decode,16,512,8,4096,32.0,213.649,,,213.649,,214.75800000000004,,,214.75800000000004,
222,decode,16,512,8,4096,304.0,214.75800000000004,,,214.75800000000004,,214.75800000000004,,,214.75800000000004,
223,decode,16,512,8,512,32.0,32.407333333333334,,,32.407333333333334,,32.714999999999996,,,32.714999999999996,
224,decode,16,512,8,512,304.0,32.714999999999996,,,32.714999999999996,,32.714999999999996,,,32.714999999999996,
225,decode,32,256,1,1024,32.0,59.376,,,59.376,,60.09733333333333,,,60.09733333333333,
226,decode,32,256,1,1024,304.0,60.09733333333333,,,60.09733333333333,,60.09733333333333,,,60.09733333333333,
227,decode,32,256,1,2048,32.0,112.27,,,112.27,,113.032,,,113.032,
228,decode,32,256,1,2048,304.0,113.032,,,113.032,,113.032,,,113.032,
229,decode,32,256,1,256,32.0,19.992333333333335,,,19.992333333333335,,19.404666666666667,,,19.404666666666667,
230,decode,32,256,1,256,64.0,19.752,,,19.752,,19.404666666666667,,,19.404666666666667,
231,decode,32,256,1,256,304.0,19.404666666666667,,,19.404666666666667,,19.404666666666667,,,19.404666666666667,
232,decode,32,256,1,4096,32.0,218.29966666666667,,,218.29966666666667,,218.08533333333335,,,218.08533333333335,
233,decode,32,256,1,4096,304.0,218.08533333333335,,,218.08533333333335,,218.08533333333335,,,218.08533333333335,
234,decode,32,256,1,512,32.0,34.038,,,34.038,,32.875,,,32.875,
235,decode,32,256,1,512,304.0,32.875,,,32.875,,32.875,,,32.875,
236,decode,32,256,16,1024,32.0,58.42733333333334,,,58.42733333333334,,58.480333333333334,,,58.480333333333334,
237,decode,32,256,16,1024,304.0,58.480333333333334,,,58.480333333333334,,58.480333333333334,,,58.480333333333334,
238,decode,32,256,16,2048,32.0,109.55766666666666,,,109.55766666666666,,110.51933333333334,,,110.51933333333334,
239,decode,32,256,16,2048,304.0,110.51933333333334,,,110.51933333333334,,110.51933333333334,,,110.51933333333334,
240,decode,32,256,16,256,32.0,19.53833333333333,,,19.53833333333333,,19.644666666666666,,,19.644666666666666,
241,decode,32,256,16,256,304.0,19.644666666666666,,,19.644666666666666,,19.644666666666666,,,19.644666666666666,
242,decode,32,256,16,4096,32.0,214.77133333333336,,,214.77133333333336,,215.01166666666666,,,215.01166666666666,
243,decode,32,256,16,4096,304.0,215.01166666666666,,,215.01166666666666,,215.01166666666666,,,215.01166666666666,
244,decode,32,256,16,512,32.0,31.471666666666668,,,31.471666666666668,,31.40533333333333,,,31.40533333333333,
