,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,first_kernel,is_3d,rows_in_group,rows_expected,rows_ok,avg_final_overlap_pct_nonzero,count_nonzero
131,16.0,1024.0,2.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
132,16.0,1024.0,2.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
133,16.0,1024.0,2.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
134,16.0,1024.0,2.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
135,16.0,1024.0,2.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
136,16.0,1024.0,2.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
137,16.0,1024.0,2.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
138,16.0,1024.0,2.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
139,16.0,1024.0,2.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
140,16.0,1024.0,2.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
141,16.0,1024.0,2.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
142,16.0,1024.0,2.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
143,16.0,1024.0,2.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
144,16.0,1024.0,32.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
145,16.0,1024.0,32.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
146,16.0,1024.0,32.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,3.4846931251992905,3
147,16.0,1024.0,32.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
148,16.0,1024.0,32.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.4576659038901602,1
149,16.0,1024.0,32.0,1024.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
