,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
91,2d,1,2048,32,256,304.0,18.695666666666668,,,18.695666666666668,,6.815666666666668,4.356999999999999,11.172666666666668
92,2d,1,2048,32,4096,32.0,424.4243333333333,,,424.4243333333333,214.93200000000002,,,214.93200000000002
93,2d,1,2048,32,4096,32.0,424.4243333333333,,,424.4243333333333,,36.416666666666664,5.158333333333332,41.574999999999996
94,2d,1,2048,32,4096,304.0,214.93200000000002,,,214.93200000000002,214.93200000000002,,,214.93200000000002
95,2d,1,2048,32,4096,304.0,214.93200000000002,,,214.93200000000002,,36.416666666666664,5.158333333333332,41.574999999999996
96,2d,1,2048,32,512,32.0,60.217999999999996,,,60.217999999999996,31.766000000000002,,,31.766000000000002
97,2d,1,2048,32,512,32.0,60.217999999999996,,,60.217999999999996,,11.906999999999998,5.051666666666667,16.958666666666666
98,2d,1,2048,32,512,304.0,31.766000000000002,,,31.766000000000002,31.766000000000002,,,31.766000000000002
99,2d,1,2048,32,512,304.0,31.766000000000002,,,31.766000000000002,,11.906999999999998,5.051666666666667,16.958666666666666
100,2d,1,2048,512,1024,32.0,1254.858,,,1254.858,118.685,,,118.685
101,2d,1,2048,512,1024,32.0,1254.858,,,1254.858,,196.48966666666664,11.76,208.24966666666663
102,2d,1,2048,512,1024,304.0,118.685,,,118.685,118.685,,,118.685
103,2d,1,2048,512,1024,304.0,118.685,,,118.685,,196.48966666666664,11.76,208.24966666666663
104,2d,1,2048,512,2048,32.0,2407.990333333333,,,2407.990333333333,225.0616666666667,,,225.0616666666667
105,2d,1,2048,512,2048,32.0,2407.990333333333,,,2407.990333333333,,297.1066666666666,11.653333333333334,308.75999999999993
106,2d,1,2048,512,2048,304.0,225.0616666666667,,,225.0616666666667,225.0616666666667,,,225.0616666666667
107,2d,1,2048,512,2048,304.0,225.0616666666667,,,225.0616666666667,,297.1066666666666,11.653333333333334,308.75999999999993
108,2d,1,2048,512,256,32.0,379.375,,,379.375,37.699333333333335,,,37.699333333333335
109,2d,1,2048,512,256,32.0,379.375,,,379.375,,91.70333333333332,11.145333333333333,102.84866666666665
110,2d,1,2048,512,256,304.0,37.699333333333335,,,37.699333333333335,37.699333333333335,,,37.699333333333335
111,2d,1,2048,512,256,304.0,37.699333333333335,,,37.699333333333335,,91.70333333333332,11.145333333333333,102.84866666666665
112,2d,1,2048,512,4096,32.0,4732.269,,,4732.269,440.52833333333336,,,440.52833333333336
113,2d,1,2048,512,4096,32.0,4732.269,,,4732.269,,500.3983333333333,11.787,512.1853333333333
114,2d,1,2048,512,4096,304.0,440.52833333333336,,,440.52833333333336,440.52833333333336,,,440.52833333333336
115,2d,1,2048,512,4096,304.0,440.52833333333336,,,440.52833333333336,,500.3983333333333,11.787,512.1853333333333
116,2d,1,2048,512,512,32.0,677.8443333333333,,,677.8443333333333,64.58800000000001,,,64.58800000000001
117,2d,1,2048,512,512,32.0,677.8443333333333,,,677.8443333333333,,137.421,11.6,149.021
118,2d,1,2048,512,512,304.0,64.58800000000001,,,64.58800000000001,64.58800000000001,,,64.58800000000001
119,2d,1,2048,512,512,304.0,64.58800000000001,,,64.58800000000001,,137.421,11.6,149.021
120,2d,1,2048,64,1024,32.0,168.29166666666666,,,168.29166666666666,58.614000000000004,,,58.614000000000004
121,2d,1,2048,64,1024,32.0,168.29166666666666,,,168.29166666666666,,28.94666666666667,5.078,34.02466666666667
122,2d,1,2048,64,1024,304.0,58.614000000000004,,,58.614000000000004,58.614000000000004,,,58.614000000000004
123,2d,1,2048,64,1024,304.0,58.614000000000004,,,58.614000000000004,,28.94666666666667,5.078,34.02466666666667
124,2d,1,2048,64,2048,32.0,324.0883333333333,,,324.0883333333333,110.29199999999999,,,110.29199999999999
125,2d,1,2048,64,2048,32.0,324.0883333333333,,,324.0883333333333,,43.058666666666674,5.064666666666667,48.12333333333334
126,2d,1,2048,64,2048,304.0,110.29199999999999,,,110.29199999999999,110.29199999999999,,,110.29199999999999
127,2d,1,2048,64,2048,304.0,110.29199999999999,,,110.29199999999999,,43.058666666666674,5.064666666666667,48.12333333333334
128,2d,1,2048,64,256,32.0,51.13033333333334,,,51.13033333333334,20.419999999999998,,,20.419999999999998
129,2d,1,2048,64,256,32.0,51.13033333333334,,,51.13033333333334,,12.735333333333335,5.693333333333334,18.42866666666667
130,2d,1,2048,64,256,304.0,20.419999999999998,,,20.419999999999998,20.419999999999998,,,20.419999999999998
131,2d,1,2048,64,256,304.0,20.419999999999998,,,20.419999999999998,,12.735333333333335,5.693333333333334,18.42866666666667
132,2d,1,2048,64,4096,32.0,636.082,,,636.082,214.99866666666665,,,214.99866666666665
133,2d,1,2048,64,4096,32.0,636.082,,,636.082,,70.094,4.5840000000000005,74.678
134,2d,1,2048,64,4096,304.0,214.99866666666665,,,214.99866666666665,214.99866666666665,,,214.99866666666665
135,2d,1,2048,64,4096,304.0,214.99866666666665,,,214.99866666666665,,70.094,4.5840000000000005,74.678
136,2d,1,2048,64,512,32.0,90.407,,,90.407,33.102,,,33.102
137,2d,1,2048,64,512,32.0,90.407,,,90.407,,21.516000000000002,6.200666666666667,27.71666666666667
138,2d,1,2048,64,512,304.0,33.102,,,33.102,33.102,,,33.102
