,mode,prefill_len,prefill_batch,decode_batch_size,cu_mask,mean_q1,std_q1,mean_q2,std_q2,mean_q3,std_q3,decode_mean_q1,decode_std_q1,prefill_mean_q1,prefill_std_q1
707,prefill_and_decode,512.0,16.0,128.0,304.0,,,933.1191999999999,47.64575422007716,272.6478,149.1713446098144,27.088333333333335,0.5076232198524145,807.6076666666667,52.70681421157356
708,prefill_and_decode,1024.0,1.0,1.0,32.0,,,150.18380000000002,2.0023683976731106,50.9964,9.398720673581062,40.292,0.3609999999999971,137.8083333333333,0.5470048750544453
709,prefill_and_decode,1024.0,1.0,1.0,64.0,,,247.7986,10.940441206825248,28.9868,4.529314263771063,21.743,0.18085076720876697,227.28,0.834965268738765
710,prefill_and_decode,1024.0,1.0,1.0,96.0,,,242.6192,7.559677354226181,26.588800000000003,3.258794669812752,20.473333333333333,0.4429450680765427,218.326,0.5075706847326823
711,prefill_and_decode,1024.0,1.0,1.0,128.0,,,240.695,16.358274771503254,21.224600000000002,3.43335343359812,14.486666666666666,0.5043821302676506,217.60466666666665,0.2837839553838923
712,prefill_and_decode,1024.0,1.0,1.0,160.0,,,240.90320000000003,15.663253100808896,19.9818,1.2466742557701276,13.844999999999999,0.12274770873625308,216.65566666666666,4.250394020950676
713,prefill_and_decode,1024.0,1.0,1.0,304.0,,,150.6886,1.2134872475638332,46.1858,17.85644375848674,13.457333333333333,0.2583047295992339,136.48533333333333,0.24538609034198786
714,prefill_and_decode,1024.0,1.0,2.0,32.0,,,150.5044,1.756273412655331,51.4216,8.649174515524592,40.092,0.13856406460550724,137.8083333333333,0.5470048750544453
715,prefill_and_decode,1024.0,1.0,2.0,64.0,,,246.965,8.383688120391882,29.6838,4.769429127264604,21.42233333333333,0.18977442750100249,227.28,0.834965268738765
716,prefill_and_decode,1024.0,1.0,2.0,96.0,,,240.31799999999998,10.829222963814154,25.6264,2.6795943349693805,20.246333333333336,0.34222848118374694,218.326,0.5075706847326823
